,Unnamed: 0,FinalID,Consumer,OriginalTraitName,OriginalTraitValue,OriginalTraitUnit,StandardisedTraitValue,StandardisedTraitUnit,ConTemp,ConTempUnit,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,ConSize,ConSizeUnit,StandardisedTraits,uniqueID,Temp(kel),1/kT,log_TraitValues,B0,E,Eh,El,Th,Tl,index
0,17847,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,0.0771,milligram (body mass - wet) / (1 individual * 24 hour),8.923611111111107e-13,kilogram / (individual * second),5.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,8.923611111111109e-13,1,278.15,41.720374296313295,-27.744905511169275,1.0702546296296301e-11,-1.105421255233817,0.7891092462072635,-0.5527106276169085,38.279802442749606,37.6586795733232,0.0
1,17848,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,0.9247,milligram (body mass - wet) / (1 individual * 24 hour),1.0702546296296301e-11,kilogram / (individual * second),10.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,1.0702546296296296e-11,1,283.15,40.983655696696246,-25.260539431154964,1.0702546296296301e-11,-1.105421255233817,0.7891092462072635,-0.5527106276169085,38.279802442749606,37.6586795733232,0.0
2,17849,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,1.8761,milligram (body mass - wet) / (1 individual * 24 hour),2.1714120370370396e-11,kilogram / (individual * second),15.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,2.171412037037037e-11,1,288.15,40.2725042877652,-24.553058358688993,1.0702546296296301e-11,-1.105421255233817,0.7891092462072635,-0.5527106276169085,38.279802442749606,37.6586795733232,0.0
3,17850,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,3.503,milligram (body mass - wet) / (1 individual * 24 hour),4.05439814814815e-11,kilogram / (individual * second),20.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,4.054398148148148e-11,1,293.15,39.58561183871582,-23.928633768541072,1.0702546296296301e-11,-1.105421255233817,0.7891092462072635,-0.5527106276169085,38.279802442749606,37.6586795733232,0.0
4,17851,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,4.6104,milligram (body mass - wet) / (1 individual * 24 hour),5.33611111111111e-11,kilogram / (individual * second),25.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,5.336111111111111e-11,1,298.15,38.92175787529614,-23.6539388916161,1.0702546296296301e-11,-1.105421255233817,0.7891092462072635,-0.5527106276169085,38.279802442749606,37.6586795733232,0.0
5,17852,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,5.0078,milligram (body mass - wet) / (1 individual * 24 hour),5.79606481481481e-11,kilogram / (individual * second),30.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,5.7960648148148143e-11,1,303.15,38.279802442749606,-23.571256815858327,1.0702546296296301e-11,-1.105421255233817,0.7891092462072635,-0.5527106276169085,38.279802442749606,37.6586795733232,0.0
6,17853,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,3.0675,milligram (body mass - wet) / (1 individual * 24 hour),3.55034722222222e-11,kilogram / (individual * second),35.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,3.550347222222222e-11,1,308.15,37.6586795733232,-24.061390615153492,1.0702546296296301e-11,-1.105421255233817,0.7891092462072635,-0.5527106276169085,38.279802442749606,37.6586795733232,0.0
7,18311,MTD2171,Chlorella vulgaris,Population Growth Rate,0.4181,event / (1 individual * 24 hour),4.839120370370369e-06,event / (individual * second),10.0,celsius,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,vulgaris,,,4.839120370370371e-06,2,283.15,40.983655696696246,-12.238777595411765,4.839120370370369e-06,-0.3893638102134049,0.17796450429185076,-0.19468190510670244,38.279802442749606,37.6586795733232,0.0
8,18312,MTD2171,Chlorella vulgaris,Population Growth Rate,0.772,event / (1 individual * 24 hour),8.935185185185181e-06,event / (individual * second),15.0,celsius,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,vulgaris,,,8.935185185185185e-06,2,288.15,40.2725042877652,-11.625513683749508,4.839120370370369e-06,-0.3893638102134049,0.17796450429185076,-0.19468190510670244,38.279802442749606,37.6586795733232,0.0
9,18313,MTD2171,Chlorella vulgaris,Population Growth Rate,0.9978,event / (1 individual * 24 hour),1.1548611111111099e-05,event / (individual * second),20.0,celsius,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,vulgaris,,,1.1548611111111114e-05,2,293.15,39.58561183871582,-11.368945378347348,4.839120370370369e-06,-0.3893638102134049,0.17796450429185076,-0.19468190510670244,38.279802442749606,37.6586795733232,0.0
10,18314,MTD2171,Chlorella vulgaris,Population Growth Rate,1.1201,event / (1 individual * 24 hour),1.29641203703704e-05,event / (individual * second),25.0,celsius,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,vulgaris,,,1.2964120370370372e-05,2,298.15,38.92175787529614,-11.253324987756589,4.839120370370369e-06,-0.3893638102134049,0.17796450429185076,-0.19468190510670244,38.279802442749606,37.6586795733232,0.0
11,18315,MTD2171,Chlorella vulgaris,Population Growth Rate,1.2824,event / (1 individual * 24 hour),1.4842592592592599e-05,event / (individual * second),30.0,celsius,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,vulgaris,,,1.4842592592592594e-05,2,303.15,38.279802442749606,-11.118009632478941,4.839120370370369e-06,-0.3893638102134049,0.17796450429185076,-0.19468190510670244,38.279802442749606,37.6586795733232,0.0
12,18316,MTD2171,Chlorella vulgaris,Population Growth Rate,1.1482,event / (1 individual * 24 hour),1.32893518518519e-05,event / (individual * second),35.0,celsius,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,vulgaris,,,1.3289351851851853e-05,2,308.15,37.6586795733232,-11.228547456040744,4.839120370370369e-06,-0.3893638102134049,0.17796450429185076,-0.19468190510670244,38.279802442749606,37.6586795733232,0.0
13,18317,MTD2172,Staurastrum pingue,Population Growth Rate,0.2276,event / (1 individual * 24 hour),2.6342592592592603e-06,event / (individual * second),10.0,celsius,Plantae,Charophyta,Zygnemophyceae,Desmidiales,Desmidiaceae,Staurastrum,pingue,,,2.634259259259259e-06,3,283.15,40.983655696696246,-12.846908531522107,2.6342592592592603e-06,-0.5573229324997584,0.33684136765611233,-0.2786614662498792,38.92175787529614,37.6586795733232,0.0
14,18318,MTD2172,Staurastrum pingue,Population Growth Rate,0.4062,event / (1 individual * 24 hour),4.70138888888889e-06,event / (individual * second),15.0,celsius,Plantae,Charophyta,Zygnemophyceae,Desmidiales,Desmidiaceae,Staurastrum,pingue,,,4.701388888888888e-06,3,288.15,40.2725042877652,-12.267652584628,2.6342592592592603e-06,-0.5573229324997584,0.33684136765611233,-0.2786614662498792,38.92175787529614,37.6586795733232,0.0
15,18319,MTD2172,Staurastrum pingue,Population Growth Rate,0.5157,event / (1 individual * 24 hour),5.96875e-06,event / (individual * second),20.0,celsius,Plantae,Charophyta,Zygnemophyceae,Desmidiales,Desmidiaceae,Staurastrum,pingue,,,5.96875e-06,3,293.15,39.58561183871582,-12.02897303271737,2.6342592592592603e-06,-0.5573229324997584,0.33684136765611233,-0.2786614662498792,38.92175787529614,37.6586795733232,0.0
16,18320,MTD2172,Staurastrum pingue,Population Growth Rate,0.752,event / (1 individual * 24 hour),8.7037037037037e-06,event / (individual * second),25.0,celsius,Plantae,Charophyta,Zygnemophyceae,Desmidiales,Desmidiaceae,Staurastrum,pingue,,,8.703703703703701e-06,3,298.15,38.92175787529614,-11.651761909824444,2.6342592592592603e-06,-0.5573229324997584,0.33684136765611233,-0.2786614662498792,38.92175787529614,37.6586795733232,0.0
17,18321,MTD2172,Staurastrum pingue,Population Growth Rate,0.6533,event / (1 individual * 24 hour),7.5613425925925904e-06,event / (individual * second),30.0,celsius,Plantae,Charophyta,Zygnemophyceae,Desmidiales,Desmidiaceae,Staurastrum,pingue,,,7.561342592592592e-06,3,303.15,38.279802442749606,-11.792461791927579,2.6342592592592603e-06,-0.5573229324997584,0.33684136765611233,-0.2786614662498792,38.92175787529614,37.6586795733232,0.0
18,18322,MTD2172,Staurastrum pingue,Population Growth Rate,0.491,event / (1 individual * 24 hour),5.6828703703703695e-06,event / (individual * second),35.0,celsius,Plantae,Charophyta,Zygnemophyceae,Desmidiales,Desmidiaceae,Staurastrum,pingue,,,5.6828703703703695e-06,3,308.15,37.6586795733232,-12.078054105979763,2.6342592592592603e-06,-0.5573229324997584,0.33684136765611233,-0.2786614662498792,38.92175787529614,37.6586795733232,0.0
19,18323,MTD2173,Fragilaria crotonensis,Population Growth Rate,0.2276,event / (1 individual * 24 hour),2.6342592592592603e-06,event / (individual * second),10.0,celsius,Chromista,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,crotonensis,,,2.634259259259259e-06,4,283.15,40.983655696696246,-12.846908531522107,2.6342592592592603e-06,-0.4672291198655181,0.7907419762889744,-0.23361455993275906,38.92175787529614,37.6586795733232,0.0
20,18324,MTD2173,Fragilaria crotonensis,Population Growth Rate,0.3052,event / (1 individual * 24 hour),3.53240740740741e-06,event / (individual * second),15.0,celsius,Chromista,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,crotonensis,,,3.532407407407408e-06,4,288.15,40.2725042877652,-12.553530934363982,2.6342592592592603e-06,-0.4672291198655181,0.7907419762889744,-0.23361455993275906,38.92175787529614,37.6586795733232,0.0
21,18325,MTD2173,Fragilaria crotonensis,Population Growth Rate,0.4485,event / (1 individual * 24 hour),5.19097222222222e-06,event / (individual * second),20.0,celsius,Chromista,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,crotonensis,,,5.190972222222223e-06,4,293.15,39.58561183871582,-12.168589552275433,2.6342592592592603e-06,-0.4672291198655181,0.7907419762889744,-0.23361455993275906,38.92175787529614,37.6586795733232,0.0
22,18326,MTD2173,Fragilaria crotonensis,Population Growth Rate,0.5838,event / (1 individual * 24 hour),6.7569444444444385e-06,event / (individual * second),25.0,celsius,Chromista,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,crotonensis,,,6.756944444444445e-06,4,298.15,38.92175787529614,-11.90493977535427,2.6342592592592603e-06,-0.4672291198655181,0.7907419762889744,-0.23361455993275906,38.92175787529614,37.6586795733232,0.0
23,18327,MTD2173,Fragilaria crotonensis,Population Growth Rate,0.4216,event / (1 individual * 24 hour),4.879629629629631e-06,event / (individual * second),30.0,celsius,Chromista,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,crotonensis,,,4.8796296296296306e-06,4,303.15,38.279802442749606,-12.230441236547131,2.6342592592592603e-06,-0.4672291198655181,0.7907419762889744,-0.23361455993275906,38.92175787529614,37.6586795733232,0.0
24,18328,MTD2173,Fragilaria crotonensis,Population Growth Rate,0.2146,event / (1 individual * 24 hour),2.4837962962963e-06,event / (individual * second),35.0,celsius,Chromista,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,crotonensis,,,2.4837962962962963e-06,4,308.15,37.6586795733232,-12.905722403577684,2.6342592592592603e-06,-0.4672291198655181,0.7907419762889744,-0.23361455993275906,38.92175787529614,37.6586795733232,0.0
